DATE-CUSTOMER_ID,Product_ID
11/1/2000-01104905,4710199010372
11/1/2000-00418683,4710857472535
11/1/2000-01057331,4710043654103
11/1/2000-01849332,4710126092129
11/1/2000-01981995,4710176021445
11/1/2000-01741797,78895770025
11/1/2000-00308359,4710192225520
11/1/2000-01607000,4712936888817
11/1/2000-01057331,4715398106864
11/1/2000-00236645,4710126091870
11/1/2000-01607000,4711713290201
11/1/2000-00768566,4710314491017
11/1/2000-02116334,4710088410207
11/1/2000-01327205,4710154012144
11/1/2000-00236645,4710126091849
11/1/2000-01634518,20000102818
11/1/2000-00217361,4710583910004
11/1/2000-01004373,4902520162847
11/1/2000-00841528,4710734001346
11/1/2000-01034561,8801055190294
11/1/2000-01327205,4710323168054
11/1/2000-01173741,4710054139804
11/1/2000-00841528,4712031000060
11/1/2000-02144702,4902181016893
11/1/2000-01733204,4710043004090
11/1/2000-02014883,4710131130311
11/1/2000-00841528,4710088424655
11/1/2000-01187366,4714981010038
11/1/2000-00768566,4710088410443
11/1/2000-01752878,4710868501019
11/1/2000-00426541,4710583110015
11/1/2000-00630849,4714981010038
11/1/2000-00630849,4710985010272
11/1/2000-01848564,20546601
11/1/2000-01607000,4710012122121
11/1/2000-00539166,4710088436498
11/1/2000-01849332,4710011405133
11/1/2000-01849332,4710085120628
11/1/2000-00656818,4714125961004
11/1/2000-00217361,4710011401128
11/1/2000-00305167,4719090900058
11/1/2000-01789225,4710018008634
11/1/2000-02147239,4710088412201
11/1/2000-02007052,4710290004171
11/1/2000-00663373,4716349008084
11/1/2000-01173741,4710088443328
11/1/2000-01674101,4710022102892
11/1/2000-00663373,4710364142068
11/1/2000-00663373,20411909
11/1/2000-01173741,4710088410207
11/1/2000-01104905,4711524000457
11/1/2000-01034561,4710134023276
11/1/2000-01849332,4710011409056
11/1/2000-00760225,4711271000014
11/1/2000-00219389,4710098162806
11/1/2000-01674101,4710088432674
11/1/2000-00236645,4714617943044
11/1/2000-01607000,20549404
11/1/2000-01733204,4711713390031
11/1/2000-00539166,4710357308303
11/1/2000-00760225,4710057870148
11/1/2000-00236645,4712500125010
11/1/2000-01674101,4710018031632
11/1/2000-01634518,4710109770402
11/1/2000-01981995,4710543310066
11/1/2000-01670981,4710011402019
11/1/2000-01717723,4710362020740
11/1/2000-01848618,2250062000090
11/1/2000-02144702,4711080040195
11/1/2000-01634518,4902704244567
11/1/2000-00539166,4710998000406
11/1/2000-01104905,4901201906015
11/1/2000-00308359,4719090106016
11/1/2000-01785111,4710585930666
11/1/2000-02147239,4710088490247
11/1/2000-02079127,8801019931536
11/1/2000-00760225,4710008290025
11/1/2000-00760225,4710088410139
11/1/2000-02084916,4710467221196
11/1/2000-00075954,74603003171
11/1/2000-00426541,4710094021497
11/1/2000-01327205,4710172030083
11/1/2000-01848564,20565909
11/1/2000-01034561,4713080000100
11/1/2000-01741797,4714981010038
11/1/2000-00418683,4710011401128
11/1/2000-01173741,4710088443250
11/1/2000-01090673,4710731050101
11/1/2000-01849332,4710047512515
11/1/2000-01900309,4716702000052
11/1/2000-01660043,4710321791698
11/1/2000-01021172,4719090105002
11/1/2000-00426541,4710038850527
11/1/2000-00427203,4710011411417
11/1/2000-01104905,84501297329
11/1/2000-00309448,4714981010038
11/1/2000-01849332,4710011406123
11/1/2000-00426541,7038513912056
11/1/2000-00045957,4710265849066
